continent,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1884,,130848603,,,,0.022,,,0.005,,,0.022,0.005,,,,,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1885,,131563803,,,,0.037,0.015,66.67,0.008,,,0.037,0.008,,,,,0.059,0.059,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1886,,132284841,,,,0.048,0.011,30,0.01,,,0.048,0.01,,,,,0.106,0.106,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1887,,133011765,,,,0.048,0,0,0.01,,,0.048,0.01,,,,,0.154,0.154,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,
Africa,1888,,133744628,,,,0.081,0.033,69.23,0.017,,,0.081,0.017,,,,,0.234,0.234,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0,0,,,,,,,,,,,,
Africa,1889,,134394419,,,,0.132,0.051,63.64,0.028,,,0.132,0.028,,,,,0.366,0.366,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0,0,,,,,,,,,,,,
Africa,1890,,135129385,,,,0.297,0.165,125,0.062,,,0.297,0.062,,,,,0.663,0.663,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0,0,,,,,,,,,,,,
Africa,1891,,135445399,,,,0.297,0,0,0.062,,,0.297,0.062,,,,,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0,0,,,,,,,,,,,,
Africa,1892,,135846881,,,,0.48,0.183,61.73,0.099,,,0.48,0.099,,,,,1.44,1.44,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,,0,0,,,,,,,,,,,,
Africa,1893,,136165893,,,,1.799,1.319,274.81,0.366,,,1.799,0.366,,,,,3.239,3.239,,,,,,,,,,,,,,,,,,,,,,,0.13,0.14,,0.01,0.01,,,,,,,,,,,,
Africa,1894,,136491624,,,,2.433,0.634,35.23,0.49,,,2.433,0.49,,,,,5.672,5.672,,,,,,,,,,,,,,,,,,,,,,,0.17,0.18,,0.02,0.02,,,,,,,,,,,,
Africa,1895,,136824118,,,,3.338,0.905,37.2,0.664,,,3.338,0.664,,,,,9.01,9.01,,,,,,,,,,,,,,,,,,,,,,,0.22,0.23,,0.02,0.03,,,,,,,,,,,,
Africa,1896,,137163427,,,,4.258,0.92,27.55,0.838,,,4.258,0.838,,,,,13.267,13.267,,,,,,,,,,,,,,,,,,,,,,,0.28,0.29,,0.04,0.04,,,,,,,,,,,,
Africa,1897,,137509591,,,,4.778,0.52,12.22,0.929,,,4.778,0.929,,,,,18.045,18.045,,,,,,,,,,,,,,,,,,,,,,,0.3,0.31,,0.05,0.05,,,,,,,,,,,,
Africa,1898,,137862661,,,,6.049,1.271,26.61,1.164,,,6.049,1.164,,,,,24.094,24.094,,,,,,,,,,,,,,,,,,,,,,,0.36,0.37,,0.06,0.06,,,,,,,,,,,,
Africa,1899,,138243556,,,,5.518,-0.531,-8.78,1.048,,,5.518,1.048,,,,,29.612,29.612,,,,,,,,,,,,,,,,,,,,,,,0.3,0.31,,0.07,0.07,,,,,,,,,,,,
Africa,1900,,138827369,,,,2.33,-3.188,-57.77,0.437,,,2.33,0.437,,,,,31.943,31.943,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,,0.07,0.07,,,,,,,,,,,,
Africa,1901,,139094637,,,,3.909,1.579,67.77,0.721,,,3.909,0.721,,,,,35.852,35.852,,,,,,,,,,,,,,,,,,,,,,,0.19,0.2,,0.08,0.08,,,,,,,,,,,,
Africa,1902,,139567767,,,,5.826,1.916,49.02,1.057,,,5.826,1.057,,,,,41.678,41.678,,,,,,,,,,,,,,,,,,,,,,,0.28,0.3,,0.09,0.09,,,,,,,,,,,,
Africa,1903,,140074606,,,,7.896,2.07,35.53,1.169,,,7.896,1.169,,,,,49.574,49.574,,,,,,,,,,,,,,,,,,,,,,,0.35,0.37,,0.1,0.1,,,,,,,,,,,,
Africa,1904,,140595545,,,,8.911,1.015,12.85,1.296,,,8.911,1.296,,,,,58.485,58.485,,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,,0.11,0.11,,,,,,,,,,,,
Africa,1905,,141130711,,,,10.263,1.352,15.17,1.467,,,10.263,1.467,,,,,68.748,68.748,,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,,0.12,0.13,,,,,,,,,,,,
Africa,1906,,141680233,,,,11.717,1.455,14.17,1.646,,,11.717,1.646,,,,,80.465,80.465,,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,,0.14,0.14,,,,,,,,,,,,
Africa,1907,,142244256,,,,12.93,1.213,10.35,1.785,,,12.93,1.785,,,,,93.395,93.395,,,,,,,,,,,,,,,,,,,,,,,0.45,0.47,,0.15,0.16,,,,,,,,,,,,
Africa,1908,,142822923,,,,13.403,0.473,3.66,1.819,,,13.403,1.819,,,,,106.798,106.798,,,,,,,,,,,,,,,,,,,,,,,0.48,0.51,,0.17,0.17,,,,,,,,,,,,
Africa,1909,,143407172,,,,15.385,1.982,14.79,2.052,,,15.385,2.052,,,,,122.183,122.183,,,,,,,,,,,,,,,,,,,,,,,0.53,0.56,,0.18,0.19,,,,,,,,,,,,
Africa,1910,,144170612,,,,17.411,2.026,13.17,2.283,,,17.411,2.283,,,,,139.595,139.595,,,,,,,,,,,,,,,,,,,,,,,0.58,0.61,,0.2,0.21,,,,,,,,,,,,
Africa,1911,,144586985,,,,16.865,-0.546,-3.14,0.892,,,16.854,0.891,,,,,156.46,156.449,,,0.011,,,,,,,,,,,,,,0.011,0.001,,,,,0.55,0.58,,0.21,0.22,,,0,,,,0.01,,,,,
Africa,1912,,145180745,,,,17.954,1.088,6.45,0.937,,,17.869,0.933,,,,,174.414,174.318,,,0.095,,,,,,,,,,,,,,0.084,0.004,,,,,0.56,0.59,,0.23,0.24,,,0,,,,0.05,,,,,
Africa,1913,,145775225,,,,19.606,1.652,9.2,1.01,0.964,,19.566,1.008,,,,,194.02,193.884,,,0.136,,,,,,,,,,,,,,0.04,0.002,,,,,0.56,0.6,,0.24,0.25,,,0.01,,,,0.02,,,,,
Africa,1914,,146378430,,,,19.551,-0.055,-0.28,0.994,,,19.243,0.978,,,,,213.571,213.128,,,0.443,,,,,,,,,,,,,,0.308,0.016,,,,,0.62,0.65,,0.26,0.27,,,0.02,,,,0.17,,,,,
Africa,1915,,146990451,,,,19.606,0.055,0.28,0.466,,,19.514,0.464,,,,,233.177,232.642,,,0.535,,,,,,,,,,,,,,0.092,0.002,,,,,0.63,0.67,,0.27,0.28,,,0.02,,,,0.05,,,,,
Africa,1916,,147611381,,,,23.255,3.649,18.61,0.461,,,23.072,0.457,,,,,256.432,255.714,,,0.718,,,,,,,,,,,,,,0.183,0.004,,,,,0.69,0.74,,0.29,0.3,,,0.02,,,,0.09,,,,,
Africa,1917,,148241306,,,,25.344,2.088,8.98,0.497,,,24.919,0.488,,,,,281.776,280.633,,,1.143,,,,,,,,,,,,,,0.425,0.008,,,,,0.72,0.77,,0.3,0.31,,,0.04,,,,0.18,,,,,
Africa,1918,,148852646,,,,24.725,-0.619,-2.44,0.48,,,23.856,0.463,,,,,306.501,304.489,,,2.012,,,,,,,,,,,,,,0.868,0.017,,,,,0.71,0.75,,0.32,0.33,,,0.06,,,,0.35,,,,,
Africa,1919,,149715052,,,,25.443,0.718,2.9,0.511,,,24.751,0.497,,,,,331.944,329.24,,,2.703,,,,,,,,,,,,,,0.692,0.014,,,,,0.84,0.92,,0.33,0.35,,,0.07,,,,0.25,,,,,
Africa,1920,,151007600,,,,28.052,2.609,10.25,0.461,,,27.594,0.454,,,,,359.995,356.834,,,3.161,,,,,,,,,,,,,,0.458,0.007,,,,,0.8,0.89,,0.35,0.36,,,0.08,,,,0.13,,,,,
Africa,1921,,152208708,,,,27.986,-0.066,-0.24,0.454,,,27.425,0.445,,,,,387.981,384.259,,,3.722,,,,,,,,,,,,,,0.561,0.009,,,,,0.91,1.03,,0.37,0.38,,,0.08,,,,0.15,,,,,
Africa,1922,,153847948,,,,23.97,-4.016,-14.35,0.399,,,23.435,0.39,,,,,411.951,407.694,,,4.256,,,,,,,,,,,,,,0.534,0.009,,,,,0.74,0.85,,0.38,0.39,,,0.09,,,,0.13,,,,,
Africa,1923,,155754237,,,,29.045,5.075,21.17,0.477,,,28.572,0.469,,,,,440.995,436.266,,,4.729,,,,,,,,,,,,,,0.473,0.008,,,,,0.79,0.91,,0.39,0.41,,,0.09,,,,0.1,,,,,
Africa,1924,,157688951,,,,30.631,1.587,5.46,0.495,,,30.126,0.487,,,,,471.626,466.392,,,5.234,,,,,,,,,,,,,,0.505,0.008,,,,,0.83,0.96,,0.4,0.42,,,0.09,,,,0.11,,,,,
Africa,1925,,159652537,,,,32.185,1.554,5.07,0.513,,,31.624,0.504,,,,,503.811,498.016,,,5.795,,,,,,,,,,,,,,0.561,0.009,,,,,0.87,1.01,,0.42,0.44,,,0.09,,,,0.11,,,,,
Africa,1926,,161645440,,,,34.438,2.253,7,0.541,,,33.903,0.532,,,,,538.249,531.919,,,6.33,,,,,,,,,,,,,,0.535,0.008,,,,,0.94,1.11,,0.43,0.46,,,0.09,,,,0.11,,,,,
Africa,1927,,163668127,,,,33.841,-0.597,-1.73,0.492,,,33.269,0.484,,,,,572.09,565.189,,,6.901,,,,,,,,,,,,,,0.572,0.008,,,,,0.85,0.99,,0.45,0.47,,,0.09,,,,0.11,,,,,
Africa,1928,,165721048,,0.127,0.002,34.77,0.93,2.75,0.457,,,33.815,0.444,,,,0.127,606.86,599.004,,,7.729,,,,,,,,,,,,,,0.828,0.011,,,,0.36,0.88,1.03,0.15,0.46,0.49,,,0.1,,,,0.15,,,,,
Africa,1929,,167806256,,0.366,0.005,35.802,1.031,2.97,0.463,,,34.59,0.448,,,,0.493,642.662,633.594,,,8.575,,,,,,,,,,,,,,0.846,0.011,,,,0.99,0.84,0.99,0.41,0.47,0.5,,,0.1,,,,0.14,,,,,
Africa,1930,,170123290,,0.261,0.003,33.696,-2.106,-5.88,0.43,,,32.555,0.415,,,,0.754,676.357,666.148,,,9.455,,,,,,,,,,,,,,0.88,0.011,,,,0.74,0.86,1.02,0.49,0.48,0.51,,,0.1,,,,0.15,,,,,
Africa,1931,,172075410,,0.266,0.003,29.464,-4.232,-12.56,0.37,,,28.307,0.356,,,,1.02,705.821,694.455,,,10.345,,,,,,,,,,,,,,0.89,0.011,,,,0.86,0.84,1,0.55,0.49,0.53,,,0.11,,,,0.16,,,,,
Africa,1932,,174260306,,0.432,0.005,26.623,-2.841,-9.64,0.329,,,25.355,0.314,,,,1.453,732.444,719.81,,,11.181,,,,,,,,,,,,,,0.835,0.01,,,,1.75,0.84,1.01,0.69,0.5,0.53,,,0.11,,,,0.16,,,,,
Africa,1933,,176479403,,0.464,0.005,28.491,1.868,7.02,0.324,,,27.29,0.31,,,,1.917,760.935,747.1,,,11.917,,,,,,,,,,,,,,0.736,0.008,,,,1.95,0.86,1.04,0.82,0.51,0.54,,,0.11,,,,0.13,,,,,
Africa,1934,,178731614,,0.534,0.006,32.539,4.048,14.21,0.364,,,31.324,0.351,,,,2.452,793.474,778.424,,,12.599,,,,,,,,,,,,,,0.682,0.008,,,,1.87,0.9,1.09,0.93,0.52,0.55,,,0.11,,,,0.11,,,,,
Africa,1935,,181017458,,0.61,0.007,35.91,3.37,10.36,0.396,,,34.743,0.383,,,,3.061,829.384,813.167,,,13.156,,,,,,,,,,,,,,0.557,0.006,,,,1.9,0.95,1.17,1.04,0.53,0.57,,,0.11,,,,0.08,,,,,
Africa,1936,,183337445,,0.691,0.008,39.016,3.106,8.65,0.439,,,37.765,0.425,,,,3.752,868.4,850.932,,,13.716,,,,,,,,,,,,,,0.561,0.006,,,,1.78,0.94,1.15,1.13,0.54,0.58,,,0.11,,,,0.08,,,,,
Africa,1937,,185692116,,0.727,0.008,41.844,2.828,7.25,0.464,,,40.582,0.45,,,,4.479,910.244,891.514,,,14.251,,,,,,,,,,,,,,0.535,0.006,,,,1.78,0.94,1.18,1.2,0.55,0.59,,,0.1,,,,0.07,,,,,
Africa,1938,,188081992,,0.75,0.008,44.013,2.169,5.18,0.48,,,42.56,0.464,,,,5.229,954.257,934.074,,,14.955,,,,,,,,,,,,,,0.703,0.008,,,,1.95,1.05,1.32,1.27,0.56,0.61,,,0.1,,,,0.09,,,,,
Africa,1939,,190625616,,0.73,0.008,46.853,2.84,6.45,0.499,,,43.957,0.468,,,,5.959,1001.11,978.031,,0.11,17.01,,,,,,0.11,0.001,,,,,,,2.056,0.022,,,,2.05,1.06,1.28,1.33,0.57,0.62,,0,0.11,,,0.08,0.25,,,,,
Africa,1940,,193553408,,0.653,0.007,49.649,2.796,5.97,0.52,,,46.039,0.482,,,,6.612,1050.759,1024.07,,0.202,19.876,,,,,,0.092,0.001,,,,,,,2.865,0.03,,,,2.08,1.02,1.22,1.38,0.58,0.64,,0.01,0.12,,,0.06,0.33,,,,,
Africa,1941,,196192789,,0.72,0.006,54.023,4.374,8.81,0.47,,,49.442,0.43,,,,7.331,1104.783,1073.512,,0.3,23.639,,,,,,0.099,0.001,,,,,,,3.763,0.033,,,,1.67,1.09,1.28,1.4,0.6,0.65,,0.01,0.14,,,0.06,0.43,,,,,
Africa,1942,,199225975,,0.77,0.007,58.823,4.799,8.88,0.504,,,54.304,0.465,,,,8.102,1163.605,1127.816,,0.407,27.281,,,,,,0.106,0.001,,,,,,,3.642,0.031,,,,2.01,1.19,1.39,1.44,0.61,0.67,,0.01,0.15,,,0.06,0.44,,,,,
Africa,1943,,202432183,,0.809,0.007,60.12,1.297,2.2,0.507,,,55.237,0.466,,,,8.91,1223.725,1183.053,,0.524,31.238,,,,,,0.117,0.001,,,,,,,3.957,0.033,,,,2.33,1.2,1.41,1.5,0.63,0.69,,0.02,0.17,,,0.06,0.45,,,,,
Africa,1944,,205698555,,0.969,0.009,66.633,6.513,10.83,0.649,,,61.371,0.598,,,,9.879,1290.358,1244.423,,0.655,35.4,,,,,,0.131,0.001,,,,,,,4.162,0.041,,,,4.28,1.31,1.59,1.6,0.65,0.71,,0.02,0.18,,,0.07,0.41,,,,,
Africa,1945,,209026260,,0.937,0.009,67.527,0.894,1.34,0.628,,,62.303,0.579,,,,10.816,1357.885,1306.727,,0.79,39.552,,,,,,0.136,0.001,,,,,,,4.151,0.039,,,,4.09,1.59,2.08,1.69,0.67,0.73,,0.02,0.19,,,0.06,0.41,,,,,
Africa,1946,,212416498,,1.144,0.011,68.159,0.632,0.94,0.645,,,62.938,0.595,,,,11.961,1426.045,1369.664,,0.925,43.494,,,,,,0.135,0.001,,,,,,,3.942,0.037,,,,3.16,1.47,1.95,1.76,0.68,0.75,,0.03,0.2,,,0.06,0.35,,,,,
Africa,1947,,215870471,,1.281,0.012,67.935,-0.225,-0.33,0.609,,,62.415,0.559,,,,13.241,1493.979,1432.079,,1.061,47.598,,,,,,0.136,0.001,,,,,,,4.104,0.037,,,,2.97,1.32,1.73,1.84,0.7,0.77,,0.03,0.21,,,0.05,0.34,,,,,
Africa,1948,,219389433,,1.424,0.011,71.733,3.798,5.59,0.545,,,64.359,0.489,,,,14.666,1565.713,1496.438,,1.2,53.409,,,,,,0.139,0.001,,,,,,,5.811,0.044,,,,2.76,1.33,1.73,1.9,0.71,0.79,,0.03,0.22,,,0.05,0.43,,,,,
Africa,1949,,223251064,,1.532,0.011,77.324,5.59,7.79,0.577,,,68.58,0.512,,,,16.198,1643.036,1565.019,,1.339,60.48,,,,,,0.14,0.001,,,,,,,7.072,0.053,,,,2.63,1.47,1.94,1.95,0.73,0.81,,0.03,0.23,,,0.05,0.53,,,,,
Africa,1950,,227794139,,2.014,0.01,93.452,16.129,20.86,0.474,0.34,,68.711,0.348,,,,18.212,1736.488,1633.73,,1.343,83.203,,,,,,0.004,0,,,,,,,22.723,0.115,,,,3.01,1.56,1.78,2.03,0.75,0.83,,0.03,0.3,,,0,1.38,,,,,
Africa,1951,,232327854,,2.269,0.011,99.862,6.41,6.86,0.496,0.347,,72.305,0.359,,,,20.481,1836.35,1706.035,,1.347,108.488,,,,,,0.004,0,,,,,,,25.284,0.125,,,,3,1.57,1.78,2.1,0.78,0.85,,0.03,0.37,,,0,1.45,,,,,
Africa,1952,,237096557,,2.327,0.011,108.882,9.02,9.03,0.529,0.364,,78.939,0.384,,,,22.808,1945.233,1784.974,,1.354,136.097,,,,,,0.007,0,,,,,,,27.609,0.134,,,,2.88,1.68,1.97,2.16,0.8,0.87,,0.02,0.44,,,0,1.5,,,,,
Africa,1953,,242092457,,2.637,0.013,110.796,1.914,1.76,0.527,0.358,,78.902,0.375,,,,25.445,2056.029,1863.876,,1.369,165.339,,,,,,0.015,0,,,,,,,29.242,0.139,,,,2.95,1.67,1.95,2.23,0.82,0.89,,0.02,0.5,,,0,1.5,,,,,
Africa,1954,,247310596,,3.041,0.014,116.157,5.361,4.84,0.541,0.358,,81.608,0.38,,,,28.486,2172.186,1945.484,,1.391,196.825,,,,,,0.022,0,,,,,,,31.486,0.147,,,,3.13,1.71,2.02,2.3,0.85,0.91,,0.02,0.56,,,0,1.52,,,,,
Africa,1955,,252748917,,3.409,0.015,128.058,11.901,10.25,0.583,0.381,,91.598,0.417,,,,31.894,2300.244,2037.083,,1.413,229.854,,,,,,0.022,0,,,,,,,33.03,0.15,,,,3.17,1.72,2.09,2.37,0.87,0.94,,0.02,0.62,,,0,1.43,,,,,
Africa,1956,,258408217,,3.517,0.016,133.509,5.451,4.26,0.594,0.383,,95.502,0.425,,,,35.411,2433.753,2132.585,,1.442,264.315,,,,,,0.029,0,,,,,,,34.461,0.153,,,,3.02,1.68,2.08,2.42,0.89,0.96,,0.02,0.66,,,0,1.37,,,,,
Africa,1957,,264292215,,3.681,0.016,139.953,6.444,4.83,0.608,0.386,,99.296,0.432,,,,39.092,2573.707,2231.88,,1.464,301.27,,,,,,0.022,0,,,,,,,36.955,0.161,,,,3.01,1.71,2.12,2.46,0.92,0.98,,0.02,0.71,,,0,1.41,,,,,
Africa,1958,,270407025,,3.989,0.016,148.305,8.351,5.97,0.58,0.374,,103.144,0.404,,,,43.081,2722.011,2335.025,,1.482,342.423,,,,,,0.018,0,,,,,,,41.153,0.161,,,,3.08,1.76,2.17,2.51,0.94,1.01,,0.02,0.76,,,0,1.51,,,,,
Africa,1959,,276760720,,4.189,0.015,147.911,-0.394,-0.27,0.54,0.343,,101.676,0.371,,,,47.27,2869.922,2436.701,,1.517,384.435,,,,,,0.035,0,,,,,,,42.011,0.154,,,,2.89,1.67,2.06,2.54,0.96,1.03,,0.02,0.8,,,0,1.45,,,,,
Africa,1960,,283361169,,4.399,0.016,156.64,8.73,5.9,0.559,0.348,,103.522,0.369,,,,51.669,3026.562,2540.223,,1.564,433.106,,,,,,0.047,0,,,,,,,48.672,0.174,,,,2.8,1.67,2.01,2.56,0.99,1.05,,0.01,0.85,,,0.01,1.56,,,,,
Africa,1961,,290214469,,4.3,0.015,162.079,5.438,3.47,0.565,0.352,,105.003,0.366,,,,55.97,3188.641,2645.226,,2.062,485.383,,,,,,0.498,0.002,,,,,,,52.277,0.182,,,,2.62,1.72,2.12,2.56,1.01,1.07,,0.02,0.89,,,0.06,1.58,,,,,
Africa,1962,,297322598,,4.461,0.015,166.426,4.348,2.68,0.567,0.35,,106.668,0.363,,,,60.431,3355.067,2751.894,,2.802,539.941,,,,,,0.74,0.002,,,,,,,54.557,0.186,,,,2.53,1.71,2.16,2.56,1.03,1.09,,0.02,0.93,,,0.08,1.53,,,,,
Africa,1963,,304683364,,4.798,0.016,176.448,10.022,6.02,0.586,0.345,,109.186,0.363,,,,65.229,3531.516,2861.08,1.147,3.52,600.54,,,,1.147,0.004,0.718,0.002,,,,,,,60.599,0.201,,,,2.58,1.72,2.14,2.56,1.05,1.12,0.09,0.03,0.97,,1.27,0.07,1.59,,,,,
Africa,1964,,312291847,,5.318,0.017,193.764,17.315,9.81,0.627,0.359,,115.604,0.374,,,,70.547,3725.28,2976.685,3.024,4.971,670.053,,,,1.877,0.006,1.451,0.005,,,,,,,69.514,0.225,,,,2.58,1.79,2.22,2.56,1.07,1.14,0.22,0.03,1.01,,1.66,0.13,1.69,,,,,
Africa,1965,,320147294,,5.691,0.018,213.785,20.021,10.33,0.675,0.377,0.438,124.891,0.394,,,,76.238,3939.064,3101.576,7.972,7.093,746.185,,2234.663,,4.948,0.016,2.123,0.007,,,,,,,76.132,0.24,,,715.421,2.63,1.89,2.36,2.57,1.1,1.16,0.53,0.04,1.06,,3.79,0.17,1.73,,,,,
Africa,1966,,328256594,,5.841,0.018,221.262,7.477,3.5,0.681,0.38,0.438,123.843,0.381,,,,82.079,4160.326,3225.419,13.165,9.453,830.209,,2282.183,,5.193,0.016,2.36,0.007,,,,,,,84.024,0.259,,,749.142,2.51,1.86,2.31,2.56,1.12,1.18,0.8,0.05,1.1,,3.59,0.18,1.76,,,,,
Africa,1967,,336631178,,5.964,0.018,237.258,15.996,7.23,0.712,0.399,0.469,127.101,0.382,,,,88.044,4397.583,3352.52,33.928,11.772,911.32,,2248.271,,20.763,0.062,2.319,0.007,,,,,,,81.11,0.244,,,756.838,2.49,1.94,2.41,2.56,1.15,1.21,1.86,0.06,1.14,,10.88,0.16,1.6,,,,,
Africa,1968,,345280352,,6.857,0.02,257.6,20.343,8.57,0.754,0.414,0.48,132.504,0.388,,,,94.901,4655.184,3485.024,63.596,14.136,997.527,,2315.227,,29.668,0.087,2.364,0.007,,,,,,,86.208,0.252,,,799.402,2.68,2,2.49,2.57,1.18,1.23,3.13,0.07,1.16,,14.56,0.15,1.56,,,,,
Africa,1969,,354214822,,7.895,0.023,278.139,20.539,7.97,0.794,0.414,0.517,135.191,0.386,,,,102.796,4933.323,3620.215,101.922,17.026,1091.365,,2318.959,,38.326,0.109,2.89,0.008,,,,,,,93.837,0.268,,,821.41,2.91,2.02,2.45,2.59,1.21,1.25,4.48,0.08,1.19,,15.71,0.17,1.57,,,,,
Africa,1970,,363447594,,8.596,0.024,302.943,24.803,8.92,0.843,0.415,0.523,140.097,0.39,,,,111.391,5236.266,3760.312,156.857,17.842,1189.863,,2453.593,,54.935,0.153,0.816,0.002,,,,,,,98.498,0.274,,,891.752,2.98,2.03,2.46,2.62,1.23,1.28,6.15,0.07,1.21,,19.78,0.05,1.45,,,,,
Africa,1971,,372983510,,9.245,0.025,332.206,29.263,9.66,0.9,0.435,0.537,149.906,0.406,,,,120.636,5568.472,3910.218,212.833,19.535,1305.249,,2553.539,,55.976,0.152,1.693,0.005,,,,,,,115.386,0.313,,,952.428,3.1,2.14,2.63,2.65,1.27,1.3,7.41,0.08,1.23,,17.42,0.09,1.6,,,,,
Africa,1972,,382837768,,9.765,0.026,352.242,20.037,6.03,0.928,0.442,0.541,153.924,0.406,,,,130.402,5920.714,4064.142,277.483,23.949,1424.738,,2632.201,,64.65,0.17,4.414,0.012,,,,,,,119.489,0.315,,,1007.706,3.09,2.17,2.7,2.68,1.3,1.33,8.62,0.09,1.25,,18.64,0.22,1.54,,,,,
Africa,1973,,393044437,,10.334,0.026,378.427,26.184,7.43,0.972,0.456,0.545,154.291,0.396,,,,140.736,6299.14,4218.433,357.489,29.309,1553.173,,2776.82,,80.006,0.205,5.36,0.014,,,,,,,128.435,0.33,,,1091.414,3.09,2.22,2.64,2.7,1.33,1.35,9.87,0.1,1.27,,19.9,0.25,1.55,,,,,
Africa,1974,,403645936,,10.811,0.027,388.873,10.446,2.76,0.972,0.445,0.533,157.241,0.393,,,,151.547,6688.013,4375.674,438.851,34.421,1687.521,,2834.143,,81.362,0.203,5.111,0.013,,,,,,,134.347,0.336,,,1143.99,3.23,2.29,2.68,2.74,1.37,1.38,10.93,0.11,1.3,,20.79,0.23,1.64,,,,,
Africa,1975,,414674676,,10.938,0.027,387.839,-1.034,-0.27,0.944,0.441,0.492,162.187,0.395,,,,162.485,7075.852,4537.861,503.16,40.843,1831.503,,2925.677,,64.309,0.156,6.422,0.016,,,,,,,143.982,0.35,,,1213.204,3.28,2.28,2.7,2.77,1.4,1.4,11.57,0.12,1.33,,19.1,0.29,1.77,,,,,
Africa,1976,,426144456,,11.198,0.026,420.868,33.03,8.52,0.997,0.449,0.494,171.906,0.407,,,,173.682,7496.72,4709.767,580.96,49.728,1982.582,,3094.776,,77.8,0.184,8.885,0.021,,,,,,,151.079,0.358,,,1318.822,3.22,2.34,2.73,2.79,1.43,1.43,12.24,0.14,1.35,,19.68,0.38,1.77,,,,,
Africa,1977,,438054805,,11.93,0.027,433.857,12.989,3.09,0.999,0.446,0.486,176.693,0.407,,,,185.613,7930.577,4886.46,652.509,63.397,2142.597,,3176.573,,71.549,0.165,13.669,0.032,,,,,,,160.015,0.369,,,1391.513,3.28,2.35,2.75,2.82,1.46,1.45,12.73,0.16,1.38,,18.76,0.57,1.8,,,,,
Africa,1978,,450403893,,12.591,0.028,463.282,29.424,6.78,1.038,0.464,0.503,178.676,0.4,,,,198.204,8393.858,5065.136,724.215,97.832,2308.471,,3208.05,,71.706,0.161,34.434,0.077,,,,,,,165.874,0.372,,,1444.918,3.25,2.43,2.71,2.84,1.49,1.48,13.13,0.24,1.4,,18.38,1.38,1.81,,,,,
Africa,1979,,463183557,,13.488,0.029,500.009,36.727,7.93,1.089,0.476,0.501,197.363,0.43,,,,211.693,8893.867,5262.499,811.934,117.489,2490.253,,3398.726,,87.719,0.191,19.657,0.043,,,,,,,181.782,0.396,,,1574.234,3.44,2.55,2.88,2.88,1.53,1.51,13.81,0.27,1.43,,24.36,0.74,1.95,,,,,
Africa,1980,,476386229,,14.691,0.031,536.51,36.501,7.3,1.137,0.489,0.303,212.398,0.45,,,,226.383,9430.376,5474.896,888.182,152.121,2688.794,,3550.119,,76.248,0.162,34.632,0.073,,,,,,,198.541,0.421,,,1691.228,3.71,2.75,3.01,2.92,1.57,1.54,14.34,0.32,1.47,,24.1,1.27,2.22,,,,,
Africa,1981,,490003902,,15.963,0.033,549.389,12.88,2.4,1.132,0.496,0.284,237.34,0.489,,,,242.346,9979.767,5712.236,940.721,181.522,2902.94,,3871.944,,52.539,0.108,29.401,0.061,,,,,,,214.146,0.441,,,1897.268,4.04,2.89,3.37,2.97,1.61,1.57,14.63,0.36,1.52,,22.15,1.06,2.51,,,,,
